subject_slug,topic_id,topic_name,qa_file,question_count,difficulty_mix,batch_id,depends_on_batches,status,review_state,owner,notes
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q1.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.1-01
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q2.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.1-02
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q3.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.1-03
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q4.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.1-04
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q5.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.1-05
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q6.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.1-06
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q7.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.1-07
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q8.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.1-08
igcse-economics-0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",qa-question-level/1-1-the-economic-problem-q9.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.1-09
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q1.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.2-01
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q2.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.2-02
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q3.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.2-03
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q4.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.2-04
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q5.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.2-05
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q6.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.2-06
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q7.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.2-07
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q8.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.2-08
igcse-economics-0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",qa-question-level/1-2-factors-of-production-q9.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.2-09
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q1.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.3-01
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q2.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.3-02
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q3.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.3-03
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q4.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.3-04
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q5.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.3-05
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q6.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.3-06
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q7.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.3-07
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q8.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.3-08
igcse-economics-0455,1.3,,qa-question-level/1-3-opportunity-cost-q9.md,1,Challenge,0455,,imported,passed,worker_course,Q-ID Q-1.3-09
igcse-economics-0455,1.4,,qa-question-level/1-4-production-possibility-frontier-q1.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.4-01
igcse-economics-0455,1.4,,qa-question-level/1-4-production-possibility-frontier-q2.md,1,Foundation,0455,,imported,passed,worker_course,Q-ID Q-1.4-02
igcse-economics-0455,1.4,,qa-question-level/1-4-production-possibility-frontier-q3.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.4-03
igcse-economics-0455,1.4,,qa-question-level/1-4-production-possibility-frontier-q4.md,1,Standard,0455,,imported,passed,worker_course,Q-ID Q-1.4-04
