subject_slug,subject_name,subject_code,topic_id,topic_name,domain,q_type,question_count,difficulty_mix,qa_file,status,review_state,layer
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Foundation,qa-question-level/1-1-the-economic-problem-q1.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Foundation,qa-question-level/1-1-the-economic-problem-q2.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Standard,qa-question-level/1-1-the-economic-problem-q3.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Standard,qa-question-level/1-1-the-economic-problem-q4.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Standard,qa-question-level/1-1-the-economic-problem-q5.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Standard,qa-question-level/1-1-the-economic-problem-q6.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Challenge,qa-question-level/1-1-the-economic-problem-q7.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Challenge,qa-question-level/1-1-the-economic-problem-q8.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.1,"| 5.2 | Indicators of development: HDI, GNI",,question-level,1,Challenge,qa-question-level/1-1-the-economic-problem-q9.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Foundation,qa-question-level/1-2-factors-of-production-q1.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Foundation,qa-question-level/1-2-factors-of-production-q2.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Standard,qa-question-level/1-2-factors-of-production-q3.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Standard,qa-question-level/1-2-factors-of-production-q4.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Standard,qa-question-level/1-2-factors-of-production-q5.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Standard,qa-question-level/1-2-factors-of-production-q6.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Challenge,qa-question-level/1-2-factors-of-production-q7.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Challenge,qa-question-level/1-2-factors-of-production-q8.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.2,"| 6.2 | Trade protection: tariffs, quotas, subsidies",,question-level,1,Challenge,qa-question-level/1-2-factors-of-production-q9.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.3,,,question-level,1,Foundation,qa-question-level/1-3-opportunity-cost-q1.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.3,,,question-level,1,Foundation,qa-question-level/1-3-opportunity-cost-q2.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.3,,,question-level,1,Standard,qa-question-level/1-3-opportunity-cost-q3.md,imported,passed,qa-question-level
igcse-economics-0455,Economics,0455,1.3,,,question-level,1,Standard,qa-question-level/1-3-opportunity-cost-q4.md,imported,passed,qa-question-level
